arrive_time,input_tokens_length,output_tokens_length
287.665268,17,131
288.636942,3,57
289.180793,10,55
289.193445,12,937
289.722908,3,93
290.350192,38,251
290.489067,5,96
290.627282,18,166
290.685374,43,57
291.054738,1,51
291.719605,7,105
293.970444,148,95
294.143128,4,103
294.806119,2,3
295.150127,6,62
295.769099,171,94
296.669717,2,421
296.989299,90,1991
297.048761,6,88
298.053888,6,71
298.543780,4,186
300.079973,2,31
300.217857,5,192
300.311452,5,141
300.432520,6,213
303.146633,162,3277
304.367322,1338,232
304.570319,231,716
304.814493,4,77
305.471872,15,808
305.846188,6,378
306.067721,4,52
306.329268,8,30
307.710858,24,329
308.454216,10,146
309.843782,13,578
311.610731,5,85
312.322891,29,383
312.981608,13,221
313.087935,6,76
313.569250,12,314
313.810122,46,565
315.464200,4,7
315.682224,5,14
315.952904,9,43
317.651637,65,195
320.248902,67,1347
320.913457,12,427
321.465378,224,120
321.690824,4,68
322.668155,27,247
323.129041,3,200
323.636606,9,164
324.083167,4,40
324.512217,29,873
324.733330,84,72
327.533560,2,131
328.421255,1,104
331.134440,150,80
334.142313,3,85
334.452654,7,238
334.895349,17,597
335.914757,4,566
336.187278,3,88
337.893911,166,608
338.321537,4,1
338.619185,2,50
338.977990,17,26
339.029937,2,80
339.272006,51,153
341.974159,22,75
342.331226,141,3277
342.647010,26,60
343.247443,2,47
343.819004,46,487
343.901401,6,150
344.616444,5,99
344.696670,3,376
344.849178,1,49
344.888613,1,105
345.911726,141,1058
346.751662,1,75
347.041546,4,41
347.763915,8,75
349.249166,10,1428
349.374600,4,118
349.691641,15,381
349.765202,3,74
349.775687,5,100
349.890637,15,80
350.558860,471,867
351.087734,58,93
351.438084,2,45
352.029193,43,377
353.285054,21,490
353.843082,31,357
354.769043,3,53
355.194579,3,44
355.224641,24,162
355.579703,3,36
356.884866,16,252
357.495268,9,310
360.532183,2,55
361.195681,55,51
362.287889,7,142
363.492217,5,41
364.005278,334,3277
364.436267,305,434
365.102708,3,93
366.275071,2,57
367.202712,37,882
368.079503,10,394
368.196183,14,102
368.543131,76,575
369.352245,19,273
369.787517,3,116
371.473768,12,60
371.513427,23,547
371.761395,1,60
371.795925,6,318
372.029595,1,29
372.038487,162,91
374.772259,6,82
375.439573,5,178
376.022499,6,90
376.623888,16,51
376.885237,8,145
377.017042,25,175
377.742126,12,503
377.840421,3,177
377.876036,3,47
378.166837,35,343
378.786799,5,333
378.852300,227,1353
380.080083,7,94
380.632436,14,137
382.419421,34,81
382.449043,4,48
382.459464,6,166
382.661937,24,353
382.684228,24,515
383.759467,2,22
384.637217,3,13
384.992483,36,641
385.125609,3,30
385.662687,12,89
386.207546,3,74
387.275198,2,53
387.414960,2,134
388.331016,15,49
389.110553,13,88
389.490361,4,184
389.525452,3,55
389.608330,621,2556
389.683001,12,363
390.208416,5,145
391.492271,8,424
392.215681,76,3277
392.396395,46,854
393.030317,36,747
393.794284,6,66
396.490122,1,19
396.525249,14,48
397.077844,3,151
398.557548,20,125
398.594786,8,96
398.790511,496,145
399.432546,78,1153
399.770159,125,334
400.241929,4,221
400.698924,17,142
401.457936,16,50
401.746059,3,94
402.560412,2,113
403.568272,7,103
404.172552,17,55
404.413762,9,303
405.852326,43,967
405.874617,6,136
406.330482,1,29
407.255384,2215,3277
407.572193,26,682
407.838653,9,158
407.924319,85,880
408.313405,6,106
410.098314,7,137
410.119834,42,29
410.159447,3,47
411.691021,1,38
415.084269,6,182
415.720551,2,74
419.033838,6,36
419.557942,133,254
420.099931,7,48
420.962732,4,80
423.469756,3,24
423.696762,7,279
424.207694,23,316
426.012155,4,126
427.700758,10,211
429.200162,1,7
430.001145,6,95
430.804183,3,75
431.331007,1,56
431.381456,8,89
431.675274,4,82
432.600987,6,51
432.913366,14,227
433.138957,7,64
433.153513,154,2831
434.253838,11,96
434.771862,4,36
435.094917,26,254
435.829834,507,744
435.947756,2,91
437.346707,88,193
437.905485,2,70
439.245497,2,55
439.261834,8,118
439.386790,2,93
439.461746,270,1350
439.636090,5,466
440.458785,4,1449
440.541482,67,200
442.599895,2,42
443.246319,38,57
444.275354,2,44
446.366941,4,250
446.655615,4,48
447.468557,2,15
447.521315,2,56
447.558444,3,109
448.004085,92,201
448.704280,4,38
449.530082,21,272
450.853598,3,38
451.972042,12,1381
452.557068,2,28
452.985779,2,30
453.311099,7,89
453.315165,1,109
454.080440,6,182
455.368024,8,99
456.355314,37,210
456.637803,2,8
457.060249,3,131
457.374156,4,173
457.770084,4,68
458.299753,3,71
458.363895,13,92
458.550029,15,41
458.628145,7,237
458.634618,2,125
458.879982,17,118
459.246138,2,34
459.581653,1,34
459.605833,3,138
460.749481,9,49
460.859890,10,98
461.471512,6,96
462.117634,19,846
462.200114,8,366
462.222464,2,70
462.239685,48,865
462.458595,3,87
463.036161,8,159
463.132315,408,885
463.180774,6,168
463.776652,16,357
463.880568,8,359
464.986871,116,289
465.436751,51,879
466.025803,2,59
467.415466,2,88
467.533480,6,243
468.078353,6,74
468.359596,4,144
468.453742,3,29
469.054564,2,68
469.078002,100,103
470.325387,7,900
471.089722,1,117
473.719282,3132,3277
474.130189,3,124
475.809538,14,30
475.944285,5,112
476.447062,2,102
476.947463,5,176
477.721062,393,2103
479.659970,2633,146
480.716102,4,103
480.767592,123,3217
481.325190,5,181
481.581817,11,238
481.672579,2,47
482.108137,7,92
482.448739,2,157
482.471754,13,679
483.000217,63,321
483.065950,1,61
483.994525,34,97
484.195065,57,1214
484.793452,4,155
484.919875,24,920
486.452346,3,58
486.488978,4,48
487.951724,8,101
488.083807,7,336
488.188747,5,114
488.801646,10,544
489.328875,3,109
491.437877,2,24
491.887259,5,352
492.042785,81,359
492.633060,2,65
493.166143,21,115
493.698783,2,84
495.969641,4,229
496.167273,10,64
496.534268,2,15
497.692043,3,134
498.398229,2,121
498.551331,50,490
499.485595,3,85
499.607462,149,206
500.332126,48,844
501.625270,3,64
502.581539,567,61
502.590740,35,976
503.065095,11,192
503.176372,2,28
503.435952,103,682
504.355598,6,196
504.483107,31,20
506.247094,3,117
506.265085,7,186
506.391125,2,62
506.425351,460,172
506.879663,3,103
507.069833,4,55
507.538057,58,71
508.927771,27,280
509.578526,2,51
509.610067,26,353
509.613635,7,162
510.337849,41,770
510.407114,63,1143
510.898048,21,120
512.502827,2,10
513.046327,3,62
513.917491,2,49
514.239471,48,170
514.571577,12,141
514.594931,39,453
514.701788,21,99
514.732339,11,156
514.984900,40,162
515.724201,5,37
515.815722,2,78
517.014303,5,179
517.507402,7,1277
518.111197,9,212
519.244469,81,1058
519.696786,10,170
520.305048,6,153
520.813115,2,108
520.858626,66,143
520.995789,3,94
522.048652,27,157
524.346417,22,270
524.463984,34,527
524.812919,1,22
525.013286,10,133
525.707291,2,14
526.232228,10,190
526.259531,1,32
528.552705,41,80
530.270553,28,199
531.113568,4,94
531.630957,3,41
531.857023,34,566
532.194076,49,536
532.461140,3,79
532.801794,31,278
532.851093,9,75
534.100247,2,57
534.671659,2,113
535.054687,4,51
535.859789,6,107
536.675606,10,123
536.694862,17,254
536.809036,1,15
537.247651,8,118
538.373603,8,95
539.550551,8,61
539.797397,68,248
540.729767,4,142
540.743857,6,88
541.535017,3,59
541.930856,175,99
542.143699,3,114
542.664827,16,436
543.266255,2,44
545.133860,5,41
547.417861,82,1102
547.791960,2,96
548.948561,45,55
549.287076,3,60
549.928660,24,560
550.089978,3,113
550.192724,2,181
550.705875,55,908
550.966262,10,16
551.196699,23,895
551.238998,4,72
551.327609,4,251
552.058579,5,149
552.785143,37,127
553.203516,2,51
553.773914,4,45
553.807708,15,429
554.927426,1002,1407
555.493553,2,84
556.251027,27,181
556.370692,8,41
557.066441,84,767
557.775796,2,19
558.038160,3,31
560.337201,4,37
560.600642,3,39
562.067035,5,152
563.186186,4,143
564.734242,3,73
565.119422,7,135
565.262608,11,38
565.381793,1,15
566.283015,1,4
566.777962,2,56
567.173376,12,311
567.531536,25,1145
567.557358,107,154
567.837088,19,373
569.531661,10,331
570.179592,4,109
570.338254,59,487
571.504214,5,248
572.240138,2,59
574.275318,15,593
574.491757,29,162
574.654534,23,171
576.117336,3,8
576.462590,71,646
576.737536,6,612
577.517758,248,552
577.811226,2,26
577.966406,268,139
578.807373,7,90
579.355593,13,256
579.458261,3,82
580.268343,2,31
580.377103,8,154
580.407215,13,106
581.062136,2,78
581.225215,3,51
581.799697,2,218
586.032292,1,61
588.036380,15,58
588.216077,7,199
588.453593,9,187
589.243351,42,832
589.246668,30,364
589.825326,7,220
590.030551,12,154
590.691577,40,803
591.449663,17,246
592.174104,7,217
592.206625,8,46
592.295745,6,143
593.659625,2,43
593.759738,885,1133
594.184570,94,945
595.399036,2,42
595.413719,3,72
595.556638,8,243
596.276904,6,104
596.365318,8,557
596.902106,3,98
598.094705,11,510
598.685514,8,62
599.993758,2,216
600.234936,69,79
601.082984,10,86
602.340622,4,71
602.554511,7,345
603.808170,5,198
603.875296,17,82
604.444968,8,36
604.557425,12,56
605.370420,14,45
605.887983,102,1383
606.634608,17,318
607.760405,7,87
608.219476,2,39
608.394154,40,303
609.684016,6,159
611.524031,14,88
612.833389,12,208
612.930654,414,143
613.978458,15,106
614.663527,2,82
615.032833,30,400
615.116705,101,993
615.911250,3,420
616.631781,5,85
616.812258,9,103
617.136126,17,77
617.253571,10,348
619.026142,3,13
619.463411,34,238
620.088746,2,82
620.652084,18,228
621.687632,2,61
622.389369,2,121
622.587978,2,85
623.004697,2,105
623.252154,3,76
623.641072,4,71
624.370602,5,73
624.808984,6,117
625.422359,1,33
625.545147,115,134
626.003495,3,86
626.771255,7,290
