arrive_time,input_tokens_length,output_tokens_length
150.940917,1,22
151.598644,6,94
151.941738,49,520
153.742156,27,443
155.329107,8,133
155.885763,6,2
155.964966,3,135
156.429248,5,41
156.982950,17,91
157.780144,1,50
158.906328,39,303
158.952895,113,1736
160.812153,2,59
160.892616,11,259
160.970552,4,80
161.109959,2,18
161.924653,1,41
162.064117,2,52
162.748369,4,60
163.538615,2,28
163.690267,1,68
164.118212,5,123
164.388611,6,284
165.911171,3,117
166.237712,5,157
166.240491,35,546
166.606261,5,187
167.057631,12,73
167.278030,8,245
168.626950,3,82
169.534132,4,171
169.783716,9,89
169.956319,4,98
170.117812,106,3277
170.231182,3,156
171.403327,5,15
171.626278,4,178
171.679563,1,187
172.325772,2,23
172.372570,8,431
173.757579,10,137
173.782997,29,397
174.040281,2,46
174.353269,1,7
174.805856,8,356
174.850881,16,95
175.599000,328,13
175.807451,22,1443
176.408262,3,38
176.663216,28,1769
177.059277,2,101
178.145266,5,51
178.145657,23,463
178.186613,4,187
179.161155,4,57
180.811513,29,457
181.879727,5,187
183.054159,106,2507
183.245129,9,28
185.037191,4,131
185.483524,21,1115
185.580268,2,50
185.643262,2,98
185.789045,268,1835
186.407670,21,511
187.835573,33,44
188.062556,3,36
188.665942,56,239
188.958007,18,326
188.971322,11,54
189.073163,71,175
189.141564,7,68
189.607574,2,118
189.619560,23,92
189.862831,18,33
191.459170,40,1441
191.529248,3,67
191.643097,76,3277
191.785228,6,155
192.290008,16,752
192.854081,5,205
192.964046,12,101
193.201921,79,596
193.426743,3,45
193.516179,12,108
193.615994,2,106
194.764424,28,13
194.818904,50,1378
195.053154,10,184
195.110522,1,38
195.473574,25,707
196.056032,10,279
196.354788,4,27
196.516926,1,65
197.050419,19,644
197.196252,3,128
198.094860,6,158
198.250178,18,877
198.378554,19,45
199.715161,2,32
201.115945,16,172
201.269734,53,530
202.576641,3,59
203.957489,3,37
204.131442,2,5
205.167482,21,57
208.438316,28,150
208.447826,1,132
209.305641,11,79
209.306317,62,872
210.449132,1,40
210.533729,7,150
211.378634,2,42
211.498976,9,154
211.700776,1,173
211.885454,8,104
212.100818,2,79
213.152466,11,624
213.404958,8,159
213.717928,13,104
213.746768,1,57
214.059477,5,112
214.204356,2,42
214.405352,3277,1389
215.024181,1,33
215.197153,1881,965
215.422078,13,66
215.940975,17,166
216.143285,39,62
216.719744,4,53
216.819223,77,172
216.861306,2,73
217.010503,1,41
217.428546,56,1752
217.555156,776,3277
220.103936,2201,2262
220.645910,3,97
220.861639,146,1467
223.352701,9,135
223.586894,48,229
223.592363,9,76
223.919833,18,282
224.547045,2,43
224.717549,33,231
224.772922,21,189
226.232187,119,85
226.506251,8,94
227.169824,5,18
228.112235,10,306
228.541479,2,43
228.927378,45,245
229.269853,14,129
230.713882,5,41
230.909839,7,499
231.628708,361,528
232.035568,10,197
232.094671,3,146
232.712776,143,86
233.632543,6,356
233.869455,8,45
234.373183,2,51
234.663340,12,126
234.675346,10,185
234.915394,51,342
235.189144,4,721
238.711581,21,158
239.235930,4,4
239.344440,2,61
239.636750,2,23
239.701404,11,239
240.783706,48,264
241.881844,8,42
242.682155,1239,220
242.860881,4,143
242.888525,16,278
243.107663,40,520
244.249869,3,128
245.242688,5,74
245.323289,18,509
245.840112,2,40
246.130103,4,106
246.658234,5,62
247.205916,34,415
247.254636,2,21
247.501533,3,227
247.615394,2,63
247.987681,13,202
248.066367,6,212
248.248144,50,26
248.474805,3,103
248.745102,3,147
249.551913,3,47
249.556629,2,281
250.678193,4,77
251.042915,48,186
251.519699,1,73
251.587210,9,147
252.042301,12,75
252.294388,5,49
252.367192,1,21
252.852400,4,81
252.927507,60,3158
253.006568,12,187
254.839758,12,600
255.201438,59,741
256.021862,9,134
256.056283,36,268
256.311496,4,37
256.371747,62,325
256.472826,5,444
257.204260,5,93
257.443385,2,18
260.151294,19,156
260.196942,5,85
260.460185,17,307
260.615625,12,1428
260.755189,15,250
260.877630,14,534
261.334945,16,473
261.459317,12,175
261.982929,8,34
262.232540,1,57
262.721384,59,3277
262.824264,2,25
264.030885,24,427
264.833125,2,23
265.242515,5,68
266.116586,2,7
266.495811,20,465
266.499224,7,216
266.859210,5,38
267.107959,2,57
267.341284,21,683
267.953661,12,357
268.034743,6,58
269.337134,3,203
269.941379,525,3277
270.278437,33,978
270.483075,2,123
271.605961,11,212
271.781610,23,183
273.895010,2,76
274.348891,21,229
275.752653,5,200
275.914571,7,107
277.375414,53,303
278.306346,10,544
278.385822,3,66
279.231459,14,799
279.758105,5,38
279.772414,2,40
281.058864,8,107
281.160516,27,225
281.191977,4,107
281.227386,6,42
281.294567,11,29
282.155933,1,40
282.622498,2,82
283.085069,2,4
283.088439,75,2086
283.425602,5,142
284.135152,5,101
284.396982,3,71
284.524045,59,487
284.753364,6,264
285.389215,16,491
285.430154,3,51
285.498160,2,57
285.591544,6,167
285.642828,3,62
286.220996,11,156
286.249109,1,15
286.513059,7,102
286.859315,3,7
287.230971,18,561
287.316580,15,346
287.870725,5,214
289.264061,528,116
290.041278,13,25
291.834868,35,667
293.459169,7,215
293.514196,34,236
293.785132,340,751
294.923243,2,54
294.954292,1,89
295.090327,2,66
295.218219,4,54
295.255914,104,190
295.922834,14,49
296.571505,2,43
297.364434,6,50
297.687299,4,17
297.992653,3,102
299.387641,14,540
299.428344,137,1660
299.852408,4,44
300.235379,4,32
301.787565,44,659
303.204542,10,124
303.384334,2,91
305.065289,12,459
305.405470,2,61
306.056608,31,357
307.391377,4,1
307.864809,4,128
308.404740,3,41
309.952103,2,8
310.326253,10,89
311.138961,3,44
312.107151,4,54
312.214158,7,202
312.348366,3,56
312.671146,2,35
313.245519,60,536
314.096650,6,75
314.122979,8,143
315.047153,505,3277
315.923241,4,90
316.610442,3,94
316.727820,1,80
317.803664,591,3277
317.826847,21,395
317.852701,4,1231
318.036800,6,62
318.096321,1,80
318.115136,13,161
318.611067,5,70
319.612228,2,86
320.547286,2,78
321.154693,13,114
321.262538,6,149
321.356062,3,298
323.045634,1,32
323.125946,4,149
325.715900,6,55
327.086452,2,70
327.402549,3,30
327.718806,7,291
327.849610,4,79
328.187446,3,65
328.242288,3,160
328.593598,41,1188
329.670442,18,56
329.994895,275,2140
330.071418,3,1136
330.287300,4,173
330.932062,4,100
331.095271,11,303
331.397980,3,71
331.533308,31,484
331.773011,4,51
331.868863,2,70
333.223703,9,197
333.683377,3,66
333.996408,3,31
335.947166,55,583
336.975020,2,167
337.035733,8,156
337.876054,14,118
338.443612,33,443
339.331023,7,84
339.538677,8,179
339.855239,3,86
340.712766,7,147
341.477645,18,636
341.893066,5,99
342.677609,13,114
342.726027,3,16
343.282422,9,114
343.286716,5,181
343.326290,4,70
343.348965,5,91
344.716562,6,45
345.635419,208,312
346.157058,7,133
346.542561,345,70
346.619006,14,312
346.683844,2,62
347.283730,5,90
348.145516,10,470
348.972414,17,323
350.723629,3,46
351.042863,10,239
351.125499,17,3277
351.190759,44,1154
351.288144,5,121
352.947592,8,11
353.004285,15,280
353.401602,58,218
354.880158,810,112
355.198826,9,147
355.262908,16,262
355.856880,11,106
355.939745,10,64
357.003904,2,32
357.034299,4,72
357.397741,34,649
358.076049,13,27
358.160401,6,121
358.181503,2,33
358.523092,3,137
358.766990,6,72
358.912940,49,359
359.465995,4,96
360.092525,1,36
361.436946,73,173
363.510392,278,1380
363.825486,1,139
363.855281,4,61
363.982714,5,50
363.999533,2,108
364.270721,2,22
364.320705,3,47
365.643834,4,41
365.674311,11,1225
366.444217,15,592
366.570877,4,107
366.788104,4,675
367.596995,3,20
367.611724,60,209
367.699747,25,49
368.013100,3,168
368.498507,14,330
368.817547,2,98
369.183428,13,348
369.776565,6,172
369.795202,82,356
369.995342,9,641
370.297942,19,220
370.865641,2,64
371.167465,1,100
371.419681,2,50
371.584669,12,355
371.963125,2,35
372.061682,18,316
372.101980,141,371
373.208626,4,84
373.689262,4,195
373.739817,9,118
373.751533,13,387
374.255824,7,389
375.039547,5,64
375.406203,1,29
375.424815,6,81
375.526067,15,381
375.554232,4,55
376.258086,2,11
376.339007,53,79
377.247346,13,201
377.916062,3,113
378.211860,3,26
378.498563,3,77
378.550618,64,278
378.695048,6,257
378.749807,613,186
379.631149,15,132
379.962259,8,705
380.005294,4,18
380.872401,2,23
380.905100,12,83
381.029558,7,79
381.942845,17,62
382.416162,20,437
382.796968,20,216
383.811672,102,1383
383.902248,4,154
384.070787,13,847
384.320404,2,33
385.230371,8,28
385.297676,1,67
386.083608,5,27
386.097896,5,178
386.244541,4,74
386.372242,3,97
386.682305,35,157
386.962793,10,61
388.943546,52,274
389.186343,28,765
389.685367,10,80
389.702797,2,187
390.425486,9,40
390.699436,138,62
390.932928,1,182
391.006074,22,127
392.422133,32,450
392.915631,1,20
393.071993,6,123
393.088056,2670,3277
393.974191,4,186
394.454067,21,563
394.720326,3,12
394.874970,40,56
395.521454,2,116
396.270486,7,373
396.531214,7,42
396.940987,1,34
398.597800,3,7
400.822921,8,106
401.843231,3,87
402.173186,10,157
402.233013,11,540
403.107431,2,50
403.124935,133,3277
403.313957,16,87
403.334230,5,1
403.887483,2,317
404.107914,12,434
404.505199,4,96
404.801597,5,105
405.217577,9,202
405.279977,2,202
405.331011,54,314
405.914105,2,32
406.191078,15,946
406.476681,3,459
406.512840,315,1339
406.975555,5,11
407.384253,34,319
407.397332,12,126
407.447298,10,242
407.832435,16,131
407.868719,3,85
408.017853,4,93
408.086592,3,40
408.424642,3,129
408.778141,57,701
409.208170,16,220
409.880670,2,60
410.121916,188,1041
410.142390,11,177
411.119363,2,70
411.547419,5,99
411.785703,2,99
412.211357,37,1644
412.337340,3,156
412.551184,43,939
413.150796,2,43
413.653903,4,19
415.069054,26,49
415.241480,70,591
415.666231,13,91
416.010395,4,215
416.034804,7,150
416.179616,499,1093
417.668766,208,2341
417.924112,18,455
417.977251,8,532
418.296583,60,22
418.969322,118,713
419.978431,9,49
420.500492,12,69
420.663065,43,270
421.224952,2,73
421.735487,2,54
423.014997,6,120
423.518380,3,53
423.857473,2,61
423.956740,9,111
424.338129,8,430
424.491714,2,133
424.560980,2,52
425.719009,2,96
425.948181,36,888
426.756825,2,10
427.508834,5,147
427.737896,1,336
427.936230,3,130
428.523558,2991,336
428.533805,17,421
429.180626,7,47
429.319571,49,419
429.419913,30,494
429.541921,6,204
430.463705,3,46
431.568815,15,632
431.798134,37,449
432.325886,11,232
435.070128,9,38
435.158454,8,123
435.547415,87,173
435.653779,8,41
437.006745,18,51
437.039323,1,303
437.069058,5,159
437.315908,64,73
437.368678,3277,201
437.551634,1,83
438.347974,5,73
438.552477,5,166
438.567598,2,74
440.251409,6,215
440.322036,5,102
440.694672,7,79
441.069349,14,146
441.289501,10,76
441.294464,3,1
441.584374,53,686
441.733110,12,167
442.283050,74,399
442.308120,2,57
442.965377,81,1098
443.491736,5,168
444.028699,161,163
444.567731,32,531
445.910976,2,137
445.966880,12,127
446.005616,5,134
446.042874,18,81
446.399971,78,1718
446.454155,12,426
446.820439,39,525
447.219142,6,104
447.274042,14,183
448.071782,1,160
448.281605,5,64
448.835565,69,189
449.396871,13,184
449.484767,4,81
450.596234,4,46
450.749031,7,65
452.353266,3,31
452.399897,3,51
452.407236,25,183
452.501967,2,105
452.803641,10,255
453.175163,15,262
453.693944,11,115
454.135368,13,669
454.323644,11,121
454.936201,44,180
454.970397,50,240
454.986981,13,1511
455.053928,17,421
455.122451,33,76
455.364455,10,592
455.821732,11,191
457.713720,4,79
457.842621,3,32
458.293179,2,44
458.370723,16,154
458.397234,7,275
458.412007,21,875
459.058001,1,23
461.024097,2,168
462.374607,22,1303
462.660070,2,11
462.682826,394,396
462.774395,440,2214
463.568121,96,652
463.691854,25,304
464.129773,9,198
464.310286,3,45
464.666133,33,407
465.480170,15,41
465.770466,11,289
468.213565,9,2791
468.443929,4,1270
468.665968,4,35
468.999254,1,60
469.028920,3,155
469.845362,3,61
470.083748,5,111
470.679454,3,44
471.063468,1,22
471.503318,2,97
471.995378,7,1062
472.139741,4,121
472.939207,3,75
472.939576,15,87
472.977061,2,67
473.641916,14,740
475.006991,39,148
475.150936,2,53
475.227981,4,85
475.558737,12,104
475.631655,176,168
475.644487,2,46
475.982057,2,92
476.035587,7,443
476.503494,1,54
476.731312,2,237
478.054357,5,268
478.467315,21,223
479.082007,3,185
479.396185,14,391
479.917158,2,85
480.745644,9,33
481.083722,261,3277
481.420274,38,1158
481.508162,62,460
481.521100,26,179
481.681802,8,317
482.047548,5,81
482.774815,4,161
483.111396,12,225
484.506595,5,43
484.995705,36,10
485.877963,2,80
488.699744,2,52
489.874831,31,767
491.368066,9,162
491.634929,13,342
