trace_name,prefill_rank,request_id,input_tokens,output_tokens
sharegpt_x_rate1p5,0,121,1248,1084
sharegpt_x_rate1p5,0,122,2,36
sharegpt_x_rate1p5,0,123,31,479
sharegpt_x_rate1p5,0,124,2,90
sharegpt_x_rate1p5,0,125,9,75
sharegpt_x_rate1p5,0,126,40,682
sharegpt_x_rate1p5,0,127,1,60
sharegpt_x_rate1p5,0,128,9,79
sharegpt_x_rate1p5,0,129,6,240
sharegpt_x_rate1p5,0,130,6,38
sharegpt_x_rate1p5,0,131,371,658
sharegpt_x_rate1p5,0,132,1,25
sharegpt_x_rate1p5,0,133,8,53
sharegpt_x_rate1p5,0,134,80,114
sharegpt_x_rate1p5,0,135,16,90
sharegpt_x_rate1p5,0,136,9,99
sharegpt_x_rate1p5,0,137,1,8
sharegpt_x_rate1p5,0,138,8,39
sharegpt_x_rate1p5,0,139,48,1374
sharegpt_x_rate1p5,0,140,37,959
sharegpt_x_rate1p5,0,141,3,45
sharegpt_x_rate1p5,0,142,34,80
sharegpt_x_rate1p5,0,143,3,33
sharegpt_x_rate1p5,0,144,503,281
sharegpt_x_rate1p5,0,145,2,9
sharegpt_x_rate1p5,0,146,12,64
sharegpt_x_rate1p5,0,147,1,47
sharegpt_x_rate1p5,0,148,4,125
sharegpt_x_rate1p5,0,149,14,136
sharegpt_x_rate1p5,0,150,46,107
sharegpt_x_rate1p5,0,151,2,141
sharegpt_x_rate1p5,0,152,53,516
sharegpt_x_rate1p5,0,153,152,117
sharegpt_x_rate1p5,0,154,2,132
sharegpt_x_rate1p5,0,155,3,17
sharegpt_x_rate1p5,0,156,6,28
sharegpt_x_rate1p5,0,157,186,135
sharegpt_x_rate1p5,0,158,3,41
sharegpt_x_rate1p5,0,159,4,42
sharegpt_x_rate1p5,0,160,8,63
sharegpt_x_rate1p5,0,161,136,310
sharegpt_x_rate1p5,0,162,10,47
sharegpt_x_rate1p5,0,163,4,22
sharegpt_x_rate1p5,0,164,3,95
sharegpt_x_rate1p5,0,165,23,1189
sharegpt_x_rate1p5,0,166,2,81
sharegpt_x_rate1p5,0,167,3,81
sharegpt_x_rate1p5,0,168,3,52
sharegpt_x_rate1p5,0,169,11,247
sharegpt_x_rate1p5,0,170,7,376
sharegpt_x_rate1p5,0,171,19,434
sharegpt_x_rate1p5,0,172,23,547
sharegpt_x_rate1p5,0,173,1,75
sharegpt_x_rate1p5,0,174,21,162
sharegpt_x_rate1p5,0,175,15,399
sharegpt_x_rate1p5,0,176,4,53
sharegpt_x_rate1p5,0,177,1,75
sharegpt_x_rate1p5,0,178,25,852
sharegpt_x_rate1p5,0,179,4,113
sharegpt_x_rate1p5,0,180,2,53
sharegpt_x_rate1p5,0,181,4,22
sharegpt_x_rate1p5,0,182,59,218
sharegpt_x_rate1p5,0,183,4,166
sharegpt_x_rate1p5,0,184,2,66
sharegpt_x_rate1p5,0,185,4,60
sharegpt_x_rate1p5,0,186,4,246
sharegpt_x_rate1p5,0,187,28,136
sharegpt_x_rate1p5,0,188,3,82
sharegpt_x_rate1p5,0,189,12,415
sharegpt_x_rate1p5,0,190,176,452
sharegpt_x_rate1p5,0,191,2,86
sharegpt_x_rate1p5,0,192,4,50
sharegpt_x_rate1p5,0,193,9,85
sharegpt_x_rate1p5,0,194,15,230
sharegpt_x_rate1p5,0,195,6,51
sharegpt_x_rate1p5,0,196,2,330
sharegpt_x_rate1p5,0,197,5,86
sharegpt_x_rate1p5,0,198,9,217
sharegpt_x_rate1p5,0,199,18,140
sharegpt_x_rate1p5,0,200,481,3277
sharegpt_x_rate1p5,0,201,3,50
sharegpt_x_rate1p5,0,202,5,341
sharegpt_x_rate1p5,0,203,3,133
sharegpt_x_rate1p5,0,204,10,217
sharegpt_x_rate1p5,0,205,6,135
sharegpt_x_rate1p5,0,206,63,672
sharegpt_x_rate1p5,0,207,5,244
sharegpt_x_rate1p5,0,208,4,603
sharegpt_x_rate1p5,0,209,3,39
sharegpt_x_rate1p5,0,210,3,65
sharegpt_x_rate1p5,0,211,8,152
sharegpt_x_rate1p5,0,212,11,1350
sharegpt_x_rate1p5,0,213,11,99
sharegpt_x_rate1p5,0,214,3,54
sharegpt_x_rate1p5,0,215,4,52
sharegpt_x_rate1p5,0,216,3,34
sharegpt_x_rate1p5,0,217,5,138
sharegpt_x_rate1p5,0,218,6,607
sharegpt_x_rate1p5,0,219,7,116
sharegpt_x_rate1p5,0,220,32,1108
sharegpt_x_rate1p5,0,221,3,74
sharegpt_x_rate1p5,0,222,3,179
sharegpt_x_rate1p5,0,223,5,82
sharegpt_x_rate1p5,0,224,3,115
sharegpt_x_rate1p5,0,225,11,83
sharegpt_x_rate1p5,0,226,34,46
sharegpt_x_rate1p5,0,227,7,76
sharegpt_x_rate1p5,0,228,7,257
sharegpt_x_rate1p5,0,229,7,215
sharegpt_x_rate1p5,0,230,5,235
sharegpt_x_rate1p5,0,231,3,86
sharegpt_x_rate1p5,0,232,16,131
sharegpt_x_rate1p5,0,233,12,126
sharegpt_x_rate1p5,0,234,41,428
sharegpt_x_rate1p5,0,235,15,335
sharegpt_x_rate1p5,0,236,25,644
sharegpt_x_rate1p5,0,237,4,117
sharegpt_x_rate1p5,0,238,39,162
sharegpt_x_rate1p5,0,239,2,40
sharegpt_x_rate1p5,0,240,9,152
sharegpt_x_rate1p5,0,241,13,1511
sharegpt_x_rate1p5,0,242,75,184
sharegpt_x_rate1p5,0,243,3,19
sharegpt_x_rate1p5,0,244,60,304
sharegpt_x_rate1p5,0,245,671,2134
sharegpt_x_rate1p5,0,246,2,46
sharegpt_x_rate1p5,0,247,19,91
sharegpt_x_rate1p5,0,248,40,391
sharegpt_x_rate1p5,0,249,16,903
sharegpt_x_rate1p5,0,250,14,129
sharegpt_x_rate1p5,0,251,28,205
sharegpt_x_rate1p5,0,252,2,74
sharegpt_x_rate1p5,0,253,3,67
sharegpt_x_rate1p5,0,254,3,64
sharegpt_x_rate1p5,0,255,6,48
sharegpt_x_rate1p5,0,256,43,403
sharegpt_x_rate1p5,0,257,2,71
sharegpt_x_rate1p5,0,258,9,197
sharegpt_x_rate1p5,0,259,6,266
sharegpt_x_rate1p5,0,260,6,83
sharegpt_x_rate1p5,0,261,5,102
sharegpt_x_rate1p5,0,262,7,67
sharegpt_x_rate1p5,0,263,4,17
sharegpt_x_rate1p5,0,264,34,238
sharegpt_x_rate1p5,0,265,7,26
sharegpt_x_rate1p5,0,266,40,557
sharegpt_x_rate1p5,0,267,2,64
sharegpt_x_rate1p5,0,268,32,471
sharegpt_x_rate1p5,0,269,8,440
sharegpt_x_rate1p5,0,270,28,493
sharegpt_x_rate1p5,0,271,6,6
sharegpt_x_rate1p5,0,272,93,638
sharegpt_x_rate1p5,0,273,3,35
sharegpt_x_rate1p5,0,274,6,19
sharegpt_x_rate1p5,0,275,29,250
sharegpt_x_rate1p5,0,276,10,106
sharegpt_x_rate1p5,0,277,18,150
sharegpt_x_rate1p5,0,278,1,31
sharegpt_x_rate1p5,0,279,10,188
sharegpt_x_rate1p5,0,280,6,128
sharegpt_x_rate1p5,0,281,2,53
sharegpt_x_rate1p5,0,282,4,2024
sharegpt_x_rate1p5,0,283,4,47
sharegpt_x_rate1p5,0,284,14,164
sharegpt_x_rate1p5,0,285,2,81
sharegpt_x_rate1p5,0,286,19,288
sharegpt_x_rate1p5,0,287,3,61
sharegpt_x_rate1p5,0,288,312,3277
sharegpt_x_rate1p5,0,289,6,201
sharegpt_x_rate1p5,0,290,78,75
sharegpt_x_rate1p5,0,291,146,42
sharegpt_x_rate1p5,0,292,6,122
sharegpt_x_rate1p5,0,293,3,164
sharegpt_x_rate1p5,0,294,1,9
sharegpt_x_rate1p5,0,295,3,22
sharegpt_x_rate1p5,0,296,25,1103
sharegpt_x_rate1p5,0,297,21,134
sharegpt_x_rate1p5,0,298,5,1999
sharegpt_x_rate1p5,0,299,5,74
sharegpt_x_rate1p5,0,300,18,63
sharegpt_x_rate1p5,0,301,51,58
sharegpt_x_rate1p5,0,302,2,45
sharegpt_x_rate1p5,0,303,9,204
sharegpt_x_rate1p5,0,304,24,55
sharegpt_x_rate1p5,0,305,5,157
sharegpt_x_rate1p5,0,306,529,310
sharegpt_x_rate1p5,0,307,31,628
sharegpt_x_rate1p5,0,308,53,1363
sharegpt_x_rate1p5,0,309,20,1152
sharegpt_x_rate1p5,0,310,2,41
sharegpt_x_rate1p5,0,311,4,1
sharegpt_x_rate1p5,0,312,10,67
sharegpt_x_rate1p5,0,313,41,221
sharegpt_x_rate1p5,0,314,224,210
sharegpt_x_rate1p5,0,315,9,55
sharegpt_x_rate1p5,0,316,112,1712
sharegpt_x_rate1p5,0,317,44,1598
sharegpt_x_rate1p5,0,318,10,87
sharegpt_x_rate1p5,0,319,46,758
sharegpt_x_rate1p5,0,320,22,705
sharegpt_x_rate1p5,0,321,8,606
sharegpt_x_rate1p5,0,322,2,73
sharegpt_x_rate1p5,0,323,3,57
sharegpt_x_rate1p5,0,324,3,47
sharegpt_x_rate1p5,0,325,928,720
sharegpt_x_rate1p5,0,326,2233,190
sharegpt_x_rate1p5,0,327,2,42
sharegpt_x_rate1p5,0,328,2,44
sharegpt_x_rate1p5,0,329,8,88
sharegpt_x_rate1p5,0,330,49,158
sharegpt_x_rate1p5,0,331,7,48
sharegpt_x_rate1p5,0,332,5,136
sharegpt_x_rate1p5,0,333,32,637
sharegpt_x_rate1p5,0,334,34,1147
sharegpt_x_rate1p5,0,335,22,143
sharegpt_x_rate1p5,0,336,50,218
sharegpt_x_rate1p5,0,337,9,424
sharegpt_x_rate1p5,0,338,2,80
sharegpt_x_rate1p5,0,339,14,15
sharegpt_x_rate1p5,0,340,2,56
sharegpt_x_rate1p5,0,341,5,45
sharegpt_x_rate1p5,0,342,3,63
sharegpt_x_rate1p5,0,343,9,49
sharegpt_x_rate1p5,0,344,9,120
sharegpt_x_rate1p5,0,345,12,233
sharegpt_x_rate1p5,0,346,3,72
sharegpt_x_rate1p5,0,347,4,81
sharegpt_x_rate1p5,0,348,21,218
sharegpt_x_rate1p5,0,349,4,150
sharegpt_x_rate1p5,0,350,43,93
sharegpt_x_rate1p5,0,351,2,144
sharegpt_x_rate1p5,0,352,15,116
sharegpt_x_rate1p5,0,353,3,101
sharegpt_x_rate1p5,0,354,56,504
sharegpt_x_rate1p5,0,355,2,29
sharegpt_x_rate1p5,0,356,10,694
sharegpt_x_rate1p5,0,357,2,121
sharegpt_x_rate1p5,0,358,6,176
sharegpt_x_rate1p5,0,359,4,50
sharegpt_x_rate1p5,0,360,7,163
sharegpt_x_rate1p5,0,361,1,17
sharegpt_x_rate1p5,0,362,97,460
sharegpt_x_rate1p5,0,363,3,28
sharegpt_x_rate1p5,0,364,7,277
sharegpt_x_rate1p5,0,365,3,297
sharegpt_x_rate1p5,0,366,4,75
sharegpt_x_rate1p5,0,367,5,97
sharegpt_x_rate1p5,0,368,4,18
sharegpt_x_rate1p5,0,369,4,12
sharegpt_x_rate1p5,0,370,14,312
sharegpt_x_rate1p5,0,371,6,71
sharegpt_x_rate1p5,0,372,7,61
sharegpt_x_rate1p5,0,373,16,48
sharegpt_x_rate1p5,0,374,33,145
sharegpt_x_rate1p5,0,375,3,55
sharegpt_x_rate1p5,0,376,3,213
sharegpt_x_rate1p5,0,377,19,291
sharegpt_x_rate1p5,0,378,13,88
sharegpt_x_rate1p5,0,379,5,190
sharegpt_x_rate1p5,0,380,3,92
sharegpt_x_rate1p5,0,381,91,2204
sharegpt_x_rate1p5,0,382,4,96
sharegpt_x_rate1p5,0,383,3,50
sharegpt_x_rate1p5,0,384,90,669
sharegpt_x_rate1p5,0,385,33,132
sharegpt_x_rate1p5,0,386,6,28
sharegpt_x_rate1p5,0,387,6,103
sharegpt_x_rate1p5,0,388,12,96
sharegpt_x_rate1p5,0,389,7,517
sharegpt_x_rate1p5,0,390,29,687
sharegpt_x_rate1p5,0,391,3,90
sharegpt_x_rate1p5,0,392,3,103
sharegpt_x_rate1p5,0,393,35,962
sharegpt_x_rate1p5,0,394,2,85
sharegpt_x_rate1p5,0,395,14,9
sharegpt_x_rate1p5,0,396,10,33
sharegpt_x_rate1p5,0,397,2,103
sharegpt_x_rate1p5,0,398,71,497
sharegpt_x_rate1p5,0,399,1,23
sharegpt_x_rate1p5,0,400,32,291
sharegpt_x_rate1p5,0,401,3,96
sharegpt_x_rate1p5,0,402,12,244
sharegpt_x_rate1p5,0,403,25,196
sharegpt_x_rate1p5,0,404,4,539
sharegpt_x_rate1p5,0,405,29,39
sharegpt_x_rate1p5,0,406,84,342
sharegpt_x_rate1p5,0,407,13,88
sharegpt_x_rate1p5,0,408,10,117
sharegpt_x_rate1p5,0,409,17,66
sharegpt_x_rate1p5,0,410,3,20
sharegpt_x_rate1p5,0,411,5,681
sharegpt_x_rate1p5,0,412,7,513
sharegpt_x_rate1p5,0,413,6,95
sharegpt_x_rate1p5,0,414,4,84
sharegpt_x_rate1p5,0,415,2,137
sharegpt_x_rate1p5,0,416,2,36
sharegpt_x_rate1p5,0,417,6,205
sharegpt_x_rate1p5,0,418,1,24
sharegpt_x_rate1p5,0,419,6,10
sharegpt_x_rate1p5,0,420,21,588
sharegpt_x_rate1p5,0,421,19,213
sharegpt_x_rate1p5,0,422,189,34
sharegpt_x_rate1p5,0,423,2,80
sharegpt_x_rate1p5,0,424,5,63
sharegpt_x_rate1p5,0,425,7,138
sharegpt_x_rate1p5,0,426,7,1062
sharegpt_x_rate1p5,0,427,24,203
sharegpt_x_rate1p5,0,428,6,327
sharegpt_x_rate1p5,0,429,44,341
sharegpt_x_rate1p5,0,430,6,125
sharegpt_x_rate1p5,0,431,5,130
sharegpt_x_rate1p5,0,432,4,70
sharegpt_x_rate1p5,0,433,81,1645
sharegpt_x_rate1p5,0,434,25,234
sharegpt_x_rate1p5,0,435,3,7
sharegpt_x_rate1p5,0,436,19,1004
sharegpt_x_rate1p5,0,437,15,1705
sharegpt_x_rate1p5,0,438,12,55
sharegpt_x_rate1p5,0,439,12,103
sharegpt_x_rate1p5,0,440,5,53
sharegpt_x_rate1p5,0,441,18,93
sharegpt_x_rate1p5,0,442,4,61
sharegpt_x_rate1p5,0,443,5,46
sharegpt_x_rate1p5,0,444,8,111
sharegpt_x_rate1p5,0,445,9,125
sharegpt_x_rate1p5,0,446,1,61
sharegpt_x_rate1p5,0,447,8,211
sharegpt_x_rate1p5,0,448,9,115
sharegpt_x_rate1p5,0,449,15,133
sharegpt_x_rate1p5,0,450,2,91
sharegpt_x_rate1p5,0,451,3,102
sharegpt_x_rate1p5,0,452,7,363
sharegpt_x_rate1p5,0,453,3,65
sharegpt_x_rate1p5,0,454,5,348
sharegpt_x_rate1p5,0,455,163,793
sharegpt_x_rate1p5,0,456,1,62
sharegpt_x_rate1p5,0,457,5,95
sharegpt_x_rate1p5,0,458,3,60
sharegpt_x_rate1p5,0,459,8,234
sharegpt_x_rate1p5,0,460,3,131
sharegpt_x_rate1p5,0,461,2,59
sharegpt_x_rate1p5,0,462,6,257
sharegpt_x_rate1p5,0,463,4,192
sharegpt_x_rate1p5,0,464,8,128
sharegpt_x_rate1p5,0,465,11,38
sharegpt_x_rate1p5,0,466,70,338
sharegpt_x_rate1p5,0,467,17,131
sharegpt_x_rate1p5,0,468,3,57
sharegpt_x_rate1p5,0,469,10,55
sharegpt_x_rate1p5,0,470,12,937
sharegpt_x_rate1p5,0,471,3,93
sharegpt_x_rate1p5,0,472,38,251
sharegpt_x_rate1p5,0,473,5,96
sharegpt_x_rate1p5,0,474,18,166
sharegpt_x_rate1p5,0,475,43,57
sharegpt_x_rate1p5,0,476,1,51
sharegpt_x_rate1p5,0,477,7,105
sharegpt_x_rate1p5,0,478,148,95
sharegpt_x_rate1p5,0,479,4,103
sharegpt_x_rate1p5,0,480,2,3
sharegpt_x_rate1p5,0,481,6,62
sharegpt_x_rate1p5,0,482,171,94
sharegpt_x_rate1p5,0,483,2,421
sharegpt_x_rate1p5,0,484,90,1991
sharegpt_x_rate1p5,0,485,6,88
sharegpt_x_rate1p5,0,486,6,71
sharegpt_x_rate1p5,0,487,4,186
sharegpt_x_rate1p5,0,488,2,31
sharegpt_x_rate1p5,0,489,5,192
sharegpt_x_rate1p5,0,490,5,141
sharegpt_x_rate1p5,0,491,6,213
sharegpt_x_rate1p5,0,492,162,3277
sharegpt_x_rate1p5,0,493,1338,232
sharegpt_x_rate1p5,0,494,231,716
sharegpt_x_rate1p5,0,495,4,77
sharegpt_x_rate1p5,0,496,15,808
sharegpt_x_rate1p5,0,497,6,378
sharegpt_x_rate1p5,0,498,4,52
sharegpt_x_rate1p5,0,499,8,30
sharegpt_x_rate1p5,0,500,24,329
sharegpt_x_rate1p5,0,501,10,146
sharegpt_x_rate1p5,0,502,13,578
sharegpt_x_rate1p5,0,503,5,85
sharegpt_x_rate1p5,0,504,29,383
sharegpt_x_rate1p5,0,505,13,221
sharegpt_x_rate1p5,0,506,6,76
sharegpt_x_rate1p5,0,507,12,314
sharegpt_x_rate1p5,0,508,46,565
sharegpt_x_rate1p5,0,509,4,7
sharegpt_x_rate1p5,0,510,5,14
sharegpt_x_rate1p5,0,511,9,43
sharegpt_x_rate1p5,0,512,65,195
sharegpt_x_rate1p5,0,513,67,1347
sharegpt_x_rate1p5,0,514,12,427
sharegpt_x_rate1p5,0,515,224,120
sharegpt_x_rate1p5,0,516,4,68
sharegpt_x_rate1p5,0,517,27,247
sharegpt_x_rate1p5,0,518,3,200
sharegpt_x_rate1p5,0,519,9,164
sharegpt_x_rate1p5,0,520,4,40
sharegpt_x_rate1p5,0,521,29,873
sharegpt_x_rate1p5,0,522,84,72
sharegpt_x_rate1p5,0,523,2,131
sharegpt_x_rate1p5,0,524,1,104
sharegpt_x_rate1p5,0,525,150,80
sharegpt_x_rate1p5,0,526,3,85
sharegpt_x_rate1p5,0,527,7,238
sharegpt_x_rate1p5,0,528,17,597
sharegpt_x_rate1p5,0,529,4,566
sharegpt_x_rate1p5,0,530,3,88
sharegpt_x_rate1p5,0,531,166,608
sharegpt_x_rate1p5,0,532,4,1
sharegpt_x_rate1p5,0,533,2,50
sharegpt_x_rate1p5,0,534,17,26
sharegpt_x_rate1p5,0,535,2,80
sharegpt_x_rate1p5,0,536,51,153
sharegpt_x_rate1p5,0,537,22,75
sharegpt_x_rate1p5,0,538,141,3277
sharegpt_x_rate1p5,0,539,26,60
sharegpt_x_rate1p5,0,540,2,47
sharegpt_x_rate1p5,0,541,46,487
sharegpt_x_rate1p5,0,542,6,150
sharegpt_x_rate1p5,0,543,5,99
sharegpt_x_rate1p5,0,544,3,376
sharegpt_x_rate1p5,0,545,1,49
sharegpt_x_rate1p5,0,546,1,105
sharegpt_x_rate1p5,0,547,141,1058
sharegpt_x_rate1p5,0,548,1,75
sharegpt_x_rate1p5,0,549,4,41
sharegpt_x_rate1p5,0,550,8,75
sharegpt_x_rate1p5,0,551,10,1428
sharegpt_x_rate1p5,0,552,4,118
sharegpt_x_rate1p5,0,553,15,381
sharegpt_x_rate1p5,0,554,3,74
sharegpt_x_rate1p5,0,555,5,100
sharegpt_x_rate1p5,0,556,15,80
sharegpt_x_rate1p5,0,557,471,867
sharegpt_x_rate1p5,0,558,58,93
sharegpt_x_rate1p5,0,559,2,45
sharegpt_x_rate1p5,0,560,43,377
sharegpt_x_rate1p5,0,561,21,490
sharegpt_x_rate1p5,0,562,31,357
sharegpt_x_rate1p5,0,563,3,53
sharegpt_x_rate1p5,0,564,3,44
sharegpt_x_rate1p5,0,565,24,162
sharegpt_x_rate1p5,0,566,3,36
sharegpt_x_rate1p5,0,567,16,252
sharegpt_x_rate1p5,0,568,9,310
sharegpt_x_rate1p5,0,569,2,55
sharegpt_x_rate1p5,0,570,55,51
sharegpt_x_rate1p5,0,571,7,142
sharegpt_x_rate1p5,0,572,5,41
sharegpt_x_rate1p5,0,573,334,3277
sharegpt_x_rate1p5,0,574,305,434
sharegpt_x_rate1p5,0,575,3,93
sharegpt_x_rate1p5,0,576,2,57
sharegpt_x_rate1p5,0,577,37,882
sharegpt_x_rate1p5,0,578,10,394
sharegpt_x_rate1p5,0,579,14,102
sharegpt_x_rate1p5,0,580,76,575
sharegpt_x_rate1p5,0,581,19,273
sharegpt_x_rate1p5,0,582,3,116
sharegpt_x_rate1p5,0,583,12,60
sharegpt_x_rate1p5,0,584,23,547
sharegpt_x_rate1p5,0,585,1,60
sharegpt_x_rate1p5,0,586,6,318
sharegpt_x_rate1p5,0,587,1,29
sharegpt_x_rate1p5,0,588,162,91
sharegpt_x_rate1p5,0,589,6,82
sharegpt_x_rate1p5,0,590,5,178
sharegpt_x_rate1p5,0,591,6,90
sharegpt_x_rate1p5,0,592,16,51
sharegpt_x_rate1p5,0,593,8,145
sharegpt_x_rate1p5,0,594,25,175
sharegpt_x_rate1p5,0,595,12,503
sharegpt_x_rate1p5,0,596,3,177
sharegpt_x_rate1p5,0,597,3,47
sharegpt_x_rate1p5,0,598,35,343
sharegpt_x_rate1p5,0,599,5,333
sharegpt_x_rate1p5,0,600,227,1353
sharegpt_x_rate1p5,0,601,7,94
sharegpt_x_rate1p5,0,602,14,137
sharegpt_x_rate1p5,0,603,34,81
sharegpt_x_rate1p5,0,604,4,48
sharegpt_x_rate1p5,0,605,6,166
sharegpt_x_rate1p5,0,606,24,353
sharegpt_x_rate1p5,0,607,24,515
sharegpt_x_rate1p5,0,608,2,22
sharegpt_x_rate1p5,0,609,3,13
sharegpt_x_rate1p5,0,610,36,641
sharegpt_x_rate1p5,0,611,3,30
sharegpt_x_rate1p5,0,612,12,89
sharegpt_x_rate1p5,0,613,3,74
sharegpt_x_rate1p5,0,614,2,53
sharegpt_x_rate1p5,0,615,2,134
sharegpt_x_rate1p5,0,616,15,49
sharegpt_x_rate1p5,0,617,13,88
sharegpt_x_rate1p5,0,618,4,184
sharegpt_x_rate1p5,0,619,3,55
sharegpt_x_rate1p5,0,620,621,2556
sharegpt_x_rate1p5,0,621,12,363
sharegpt_x_rate1p5,0,622,5,145
sharegpt_x_rate1p5,0,623,8,424
sharegpt_x_rate1p5,0,624,76,3277
sharegpt_x_rate1p5,0,625,46,854
sharegpt_x_rate1p5,0,626,36,747
sharegpt_x_rate1p5,0,627,6,66
sharegpt_x_rate1p5,0,628,1,19
sharegpt_x_rate1p5,0,629,14,48
sharegpt_x_rate1p5,0,630,3,151
